tahun,topic_id,n_docs,n_total,proporsi,label_topik
2018,54,9,1120,0.008035714285714285,Topik_54
2018,55,6,1120,0.005357142857142857,Topik_55
2018,56,5,1120,0.004464285714285714,Topik_56
2018,57,11,1120,0.009821428571428571,Topik_57
2018,58,5,1120,0.004464285714285714,Topik_58
2018,59,9,1120,0.008035714285714285,Topik_59
2018,60,6,1120,0.005357142857142857,Topik_60
2018,61,3,1120,0.0026785714285714286,Topik_61
2018,62,3,1120,0.0026785714285714286,Topik_62
2018,63,18,1120,0.01607142857142857,Topik_63
2018,64,7,1120,0.00625,Topik_64
2018,65,9,1120,0.008035714285714285,Topik_65
2018,66,10,1120,0.008928571428571428,Topik_66
2018,67,5,1120,0.004464285714285714,Topik_67
2018,68,16,1120,0.014285714285714285,Topik_68
2018,69,2,1120,0.0017857142857142857,Topik_69
2018,70,8,1120,0.007142857142857143,Topik_70
2018,71,3,1120,0.0026785714285714286,Topik_71
2018,72,6,1120,0.005357142857142857,Topik_72
2018,73,4,1120,0.0035714285714285713,Topik_73
2018,75,1,1120,0.0008928571428571428,Topik_75
2018,76,9,1120,0.008035714285714285,Topik_76
2018,77,16,1120,0.014285714285714285,Topik_77
2018,78,4,1120,0.0035714285714285713,Topik_78
2018,79,4,1120,0.0035714285714285713,Topik_79
2018,80,7,1120,0.00625,Topik_80
2018,81,6,1120,0.005357142857142857,Topik_81
2018,82,2,1120,0.0017857142857142857,Topik_82
2018,83,1,1120,0.0008928571428571428,Topik_83
2018,84,2,1120,0.0017857142857142857,Topik_84
2018,85,9,1120,0.008035714285714285,Topik_85
2018,86,2,1120,0.0017857142857142857,Topik_86
2018,87,8,1120,0.007142857142857143,Topik_87
2018,88,3,1120,0.0026785714285714286,Topik_88
2018,89,3,1120,0.0026785714285714286,Topik_89
2018,90,2,1120,0.0017857142857142857,Topik_90
2018,91,8,1120,0.007142857142857143,Topik_91
2018,92,6,1120,0.005357142857142857,Topik_92
2018,93,4,1120,0.0035714285714285713,Topik_93
2018,94,3,1120,0.0026785714285714286,Topik_94
2018,95,3,1120,0.0026785714285714286,Topik_95
2018,96,2,1120,0.0017857142857142857,Topik_96
2018,97,3,1120,0.0026785714285714286,Topik_97
2018,98,6,1120,0.005357142857142857,Topik_98
2018,99,5,1120,0.004464285714285714,Topik_99
2018,100,5,1120,0.004464285714285714,Topik_100
2018,102,5,1120,0.004464285714285714,Topik_102
2018,103,1,1120,0.0008928571428571428,Topik_103
2018,104,2,1120,0.0017857142857142857,Topik_104
2019,0,108,971,0.11122554067971163,Topik_0
2019,1,36,971,0.037075180226570546,Topik_1
2019,2,59,971,0.0607621009268795,Topik_2
2019,3,59,971,0.0607621009268795,Topik_3
2019,4,21,971,0.021627188465499485,Topik_4
2019,5,29,971,0.029866117404737384,Topik_5
2019,6,9,971,0.009268795056642637,Topik_6
2019,7,23,971,0.02368692070030896,Topik_7
2019,8,14,971,0.014418125643666324,Topik_8
2019,9,19,971,0.01956745623069001,Topik_9
2019,10,17,971,0.017507723995880537,Topik_10
2019,11,14,971,0.014418125643666324,Topik_11
2019,12,12,971,0.012358393408856848,Topik_12
2019,13,30,971,0.030895983522142123,Topik_13
2019,14,10,971,0.010298661174047374,Topik_14
2019,15,11,971,0.01132852729145211,Topik_15
2019,16,11,971,0.01132852729145211,Topik_16
